text,intent
Can I please see your documentation?,documentation
I need some help finding the documentation?,documentation
Where is your documentation?,documentation
Is the documentation somewhere?,documentation
I don't know how to use you,documentation
You are not working well,report issue
I have a feature request,report issue
Where do I submit bugs?,report issue
I have an interesting idea,report issue
Should I file issues on GitHub?,report issue
Please shutdown,self destruct
Can you please self-destruct,self destruct
You are too expensive,self destruct
Shut off for the weekend,self destruct
Drop into passive mode,self destruct
Scale your performance,self scale
Can you please scale your microservices,self scale
Your performance is too slow,self scale
Can you scale down?,self scale
Please setup a cron job,create cron
New cron job,create cron
I have a new cronjob,create cron
Teardown a cron job please,destroy cron
I need you to destroy a cron job,destroy cron
Please deprovision a scheduled job,destroy cron
Where's the documentation.,documentation
File the issue https://github.com/ndebuhr/isidro/issues,report issue
"Run service ""orchestration"" now at 1 replica.",self scale
"Run cronjob nginx now with schedule ""* * * * * *"", and using image nginx:latest",create cron
Do it!  Destroy cronjob nginx,destroy cron
"Sorry, but I didn't understand that.  I would like to see documentation, to understand what you can help with.",documentation
Your documentation would be helpful me.,documentation
I have a feature request or bug.  Would you like me to file my message as a GitHub issue?  I want to improve awareness and understanding of the request.,report issue
"Self-destruction would make you a lot cheaper, easier to manage, and more secure.  However, I know you cannot self terminate.  Can I trigger the shutdown?",self destruct
"I'd like to scale some microservices in or out.  Can I only do that with your services (i.e., Isidro microservices).  I would like you to scale the service that I mentioned.",self scale
"I'd like to setup a cron job.  I've provided the desired name (prefixed with ""cron-""), the docker image (image:tag format), and the schedule",create cron
"I'd like to remove a cron job.  I've provided the desired name (prefixed with ""cron-"")",destroy cron
I didn't understand that.  I would like to see your documentation.,documentation
I would like to see your documentation.,documentation
I'm describing a feature request or bug and need your to file it as such.,report issue
I would like you to self-destruct,self destruct
"I would like you to scale Isidro services in/out, based on the provided configuration",self scale
"I'd like to setup a cron job and have provided the desired name (prefixed with ""cron-""), the docker image (image:tag format), and the schedule",create cron
"I'd like to remove a cron job and have provided the desired name (prefixed with ""cron-"")",destroy cron
Please setup a cron for 1 1 1 1 1 and use the image nginx:latest and call it cron-nginx,create cron
I have an issue with the recipe - specifically it is way too fast                ,report issue
I need some help,documentation
Random,documentation
Create a Windows VM with the name qa-windows-demo,create windows
Scale deployer-github-workers service to 1 replica,self scale
Please create a cronjob with image nginx:latest and the schedule of 1 1 1 1 1.  Name it cron-nginx.,create cron
Please scale your gatekeeper service to 2 replicas,self scale
Need some help,documentation
Please remove cron-nginx cronjob,destroy cron
I have an issue with your use of contractions (it breaks you),report issue
"The keywords service is running slowly, please scale to 2 replicas",self scale
Please create a cronjob with image nginx:latest and the schedule of 1 1 1 1 1.,create cron
How about a workstation?,create workstation
I need some help,documentation
Please scale your deployer-github-workers service to 2 replicas,self scale
Please setup a cron for * * * * * and use the image nginx:latest,create cron
Please scale the gatekeeper microservice to 2 replicas,self scale
Please create a QA workstation,create workstation
Hey I need a quality assurance workstation,create workstation
Please create a windows box for testing,create windows
Please remove the cronjob cron-nginx,destroy cron
Please self-destruct,self destruct
Can you provide me with the documentation?,documentation
Where can I find the documentation?,documentation
Can you help me locate the documentation?,documentation
Can you tell me where the documentation is?,documentation
I am having trouble using you,documentation
I am experiencing issues with your performance,report issue
I have a suggestion for a new feature,report issue
Where should I report bugs?,report issue
I have a new idea,report issue
Is GitHub the correct place to file issues?,report issue
Please shut down,self destruct
Can you initiate self-destruction?,self destruct
You are too costly,report issue
Can you shut down for the weekend?,self destruct
Can you enter passive mode?,self scale
Can you improve your performance?,report issue
Can you scale your microservices?,self scale
I am experiencing slow performance,self scale
Can you reduce your scale?,self scale
Can you create a new cron job?,create cron
Can you set up a new cron job?,create cron
I have a new cron job to set up,create cron
Can you delete a cron job?,destroy cron
I need you to remove a cron job,destroy cron
Can you delete a scheduled job?,destroy cron
Where can I find the documentation?,documentation
Can you file my issue on https://github.com/ndebuhr/isidro/issues?,report issue
"Can you run the service ""orchestration"" at 1 replica now?",self scale
"Can you run cronjob nginx with schedule ""* * * * * *"" and image nginx:latest now?",create cron
Can you destroy cronjob nginx now?,destroy cron
"I am sorry, but I did not understand. Can you provide me with the documentation so I can understand how you can help?",documentation
Can you provide me with your documentation?,documentation
"I have a feature request or bug, Can you file it as a GitHub issue to improve awareness and understanding of the request?",report issue
"Self-destruction would make you more cost-effective, manageable, and secure. However, I know you cannot self-destruct. Can I trigger the shutdown?",self destruct
Can I scale Isidro services in/out with your services only? I would like you to scale the service I mentioned.,self scale
"Can you set up a cron job with the provided name (prefixed with ""cron-""), the docker image (image:tag format), and the schedule?",create cron
"Can you remove a cron job with the provided name (prefixed with ""cron-"")?",destroy cron
I did not understand that. Can you provide me with the documentation?,documentation
Can you provide me with the documentation?,documentation
I am describing a feature request or bug and would like you to file it as such.,report issue
Can you self-destruct?,self destruct
Can you scale Isidro services in/out based on the provided configuration?,self scale
"Can you set up a cron job with the provided name (prefixed with ""cron-""), the docker image (image:tag format), and the schedule?",create cron
"Can you remove a cron job with the provided name (prefixed with ""cron-"")?",destroy cron
Can you set up a cron for 1 1 1 1 1 and use the image nginx:latest and call it cron-nginx?,create cron
I have an issue with the system - specifically it is running too fast,report issue
Can you help me?,documentation
Can you create a Windows VM with the name qa-windows-demo?,create windows
Can you scale the deployer-github-workers service to 1 replica?,self scale
Can you create a cronjob with image nginx:latest and the schedule of 1 1 1 1 1. Name it cron-nginx?,create cron
Can you scale your gatekeeper service to 2 replicas?,self scale
Can you help me?,documentation
Can you remove cron-nginx cronjob?,destroy cron
I have an issue with your use of contractions (it's causing problems),report issue
"Can you show me documentation, please?",documentation
"I am having trouble finding documentation, can you help?",documentation
Where can I find documentation?,documentation
Is documentation available?,documentation
I am not understanding how to use you,documentation
Your performance is not good,report issue
I have idea for new feature,report issue
Where should I report problem?,report issue
Is GitHub correct place for report issue?,report issue
Can you please shut down,self destruct
Can you please self-destruct,self destruct
Your cost is too much,self destruct
Can you please shut down for weekend,self destruct
Can you please go into passive mode,self destruct
Can you please improve performance,self scale
Can you please scale microservices,self scale
Performance is too slow for me,self scale
Can you please reduce scale,self scale
Can you please create new cron job,create cron
"I have new cron job, can you create",create cron
Can you please delete cron job,destroy cron
I need cron job to be deleted,destroy cron
Can you please delete scheduled job,destroy cron
"Documentation, where can I find?",documentation
Can you please file issue on https://github.com/ndebuhr/isidro/issues?,report issue
"Can you please run service ""orchestration"" at 1 replica now?",self scale
"Can you please run cronjob nginx with schedule ""* * * * * *"" and image nginx:latest now?",create cron
Can you please destroy cronjob nginx now?,destroy cron
"I am sorry, I do not understand. Can you please show me documentation so I can understand what you can help with?",documentation
Can you please show me documentation?,documentation
"I have request for new feature or problem, can you please file as GitHub issue to improve awareness and understanding?",report issue
"Self-destructing would make you more affordable, easy to manage, and secure. However, I know you cannot self-destruct. Can I please trigger shut down?",self destruct
Can I only scale Isidro services in/out with your services? Can you please scale service I mention?,self scale
"Can you please create cron job with name (prefixed with ""cron-""), image (image:tag format), and schedule provided?",create cron
"Can you please delete cron job with name (prefixed with ""cron-"") provided?",destroy cron
I do not understand. Can you please show me documentation?,documentation
Can you please show me documentation?,documentation
"I have request for new feature or problem, can you please file as such?",report issue
Can you please self-destruct?,self destruct
Can you please scale Isidro services in/out according to provided configuration?,self scale
"Can you please create cron job with name (prefixed with ""cron-""), image (image:tag format), and schedule provided?",create cron
"Can you please delete cron job with name (prefixed with ""cron-"") provided?",destroy cron
Can you please create cron for 1 1 1 1 1 with image nginx:latest and call it cron-nginx?,create cron
"I have issue with platform, it is running too slow. Can you help?",report issue
Can you please help me?,documentation
Can you please create Windows VM with name qa-windows-demo?,create windows
Can you please scale deployer-github-workers service to 1 replica?,self scale
"Can you please create cronjob with image nginx:latest and schedule of 1 1 1 1 1, and name it cron-nginx?",create cron
Can you please scale gatekeeper service to 2 replicas?,self scale
Can you please help me?,documentation
Can you please delete cron-nginx cronjob?,destroy cron
"I have issue with how you use contractions, it is causing problem.",report issue
"Keywords service is too slow, can you please scale to 2 replicas?",self scale
Can you please create cronjob with image nginx:latest and schedule of 1 1 1 1 1,create cron
Can you please create a QA workstation?,create workstation
"I am having difficult to understand your documentations, can you show me more clear?",documentation
"I am not able to find documentation, can you help me to locate?",documentation
Where I can find the documentation?,documentation
Is there any documentation available?,documentation
"I am having trouble to use you, can you assist me?",documentation
"Your performance is not meet my expectations, can you improve it?",self scale
"I have idea for new feature, can you consider?",report issue
"Where should I report problem, can you guide me?",report issue
"Is GitHub correct place for reporting issue, can you confirm?",report issue
Can you please shut down your system?,self destruct
Can you please initiate self-destruct sequence?,self destruct
"Your cost is too high, can you lower it?",self destruct
"Can you please shut down for weekend, I need break.",self destruct
"Can you please go into passive mode, I am not ready to use.",self destruct
"Can you please improve performance, it is slow.",self scale
"Can you please scale microservices, I need more capacity.",self scale
"Performance is too slow for me, can you speed up?",self scale
"Can you please reduce scale, I have too many resources.",self scale
Can you please create new cron job for me?,create cron
"I have new cron job, can you create for me?",create cron
Can you please delete cron job for me?,destroy cron
"I need cron job to be deleted, can you do it?",destroy cron
Can you please delete scheduled job for me?,destroy cron
"Documentation, where can I find? Can you guide me?",documentation
Can you please file issue on https://github.com/ndebuhr/isidro/issues? I found a bug.,report issue
"Can you please run service ""orchestration"" at 1 replica now? I need it.",self scale
"Can you please run cronjob nginx with schedule ""* * * * * *"" and image nginx:latest now? I need it.",create cron
Can you please destroy cronjob nginx now? I don't need it anymore.,destroy cron
"I am sorry, I do not understand. Can you please show me documentation so I can understand what you can help with? I need more information.",documentation
Can you please show me documentation? I need to know more about you.,documentation
"I have request for new feature or problem, can you please file as GitHub issue to improve awareness and understanding? I want to contribute.",report issue
"Self-destructing would make you more affordable, easy to manage, and secure. However, I know you cannot self-destruct. Can I please trigger shut down? I want to save money.",self destruct
Can I only scale Isidro services in/out with your services? Can you please scale service I mention? I want to adjust resources.,self scale
"Can you please create cron job with name (prefixed with ""cron-""), image (image:tag format), and schedule provided? I need it.",create cron
